Stk name,Mkt Price,Mkt Cap,Price chg compared to 1 Jan 2026,Sector
OMNIBRIDGE HOLDINGS LIMITED,0.1010HKD,7.28M,21.69%,Outsourcing & Staffing Services
ONE MEDIA GROUP LIMITED,0.1350HKD,6.14M,50.00%,Other Consumer Publishing
ONEFORCE HOLDINGS LIMITED,0.2200HKD,13.98M,70.54%,Other Software
"ONEROBOTICS (SHENZHEN) CO., LTD.",96.85HKD,2.88B,20.09%,Household Appliances
ONEWO INC.,16.31CNY,2.4B,-11.41%,Residential Real Estate Services
OOH HOLDINGS LIMITED,0.0340HKD,3.12M,-8.11%,Other Restaurants & Bars
OPTIMA AUTOMOBILE GROUP HOLDINGS LIMITED,0.8700HKD,90.05M,42.62%,Consumer Repair Services
ORANGE SKY GOLDEN HARVEST ENTERTAINMENT (HOLDINGS) LIMITED,0.0620HKD,22.51M,-6.06%,Movie Theaters & Movie Products
ORANGE TOUR CULTURAL HOLDING LIMITED,0.0680HKD,6.94M,-18.07%,Other Advertising & Marketing
ORBUSNEICH MEDICAL GROUP HOLDINGS LIMITED,4.200HKD,457M,16.02%,Medical Devices & Implants
ORIENT OVERSEAS (INTERNATIONAL) LIMITED,134.50HKD,11.73B,7.26%,Other Marine Freight & Logistics
ORIENT SECURITIES INTERNATIONAL HOLDINGS LIMITED,0.1880HKD,2.98M,-.--%,Other Investment Banking & Brokerage Services
ORIENTAL EXPLORER HOLDINGS LIMITED,0.3950HKD,19.57M,-4.82%,Other Real Estate Development & Operations
ORIENTAL MEDIA GROUP LIMITED,0.2700HKD,85.7M,-12.90%,Other Ground Freight & Logistics
ORIENTAL PAYMENT GROUP HOLDINGS LIMITED,0.0390HKD,9.6M,-18.75%,Internet Security & Transactions Services
ORIENTAL UNIVERSITY CITY HOLDINGS (H.K.) LIMITED,0.2900HKD,6.66M,-15.94%,Other Real Estate Development & Operations
ORIENTAL WATCH HOLDINGS LIMITED,3.240HKD,203M,-11.48%,Jewelry & Watch Retailers
OSHIDORI INTERNATIONAL HOLDINGS LIMITED,2.180HKD,1.91B,190.67%,Other Consumer Lending
OSL GROUP LIMITED,10.50HKD,1.27B,-38.24%,Blockchain & Cryptocurrency (NEC)
OURGAME INTERNATIONAL HOLDINGS LIMITED,0.2300HKD,31.64M,4.55%,Internet Gaming
OVERSEAS CHINESE TOWN (ASIA) HOLDINGS LIMITED,0.2250HKD,21.11M,-21.05%,Other Real Estate Development & Operations
P.B. GROUP LIMITED,0.3400HKD,6.91M,25.93%,Other Construction Materials
PA SHUN INTERNATIONAL HOLDINGS LIMITED,0.0370HKD,7.15M,-7.50%,Pharmaceuticals Wholesale
PACIFIC BASIN SHIPPING LIMITED,3.130HKD,2.09B,34.33%,Other Marine Freight & Logistics
PACIFIC CENTURY PREMIUM DEVELOPMENTS LIMITED,0.2500HKD,67.64M,32.98%,Other Real Estate Development & Operations
PACIFIC LEGEND GROUP LIMITED,0.1400HKD,16.98M,125.81%,Home Furnishings Wholesale
PACIFIC MILLENNIUM PACKAGING GROUP CORPORATION,2.150HKD,82.5M,-14.00%,Other Paper Packaging
PACIFIC ONLINE LIMITED,0.2900HKD,42.03M,-7.94%,Other Internet Services
PACIFIC TEXTILES HOLDINGS LIMITED,1.130HKD,200M,-9.60%,Natural Fabrics
PAK FAH YEOW INTERNATIONAL LIMITED,2.480HKD,98.65M,4.64%,Generic Pharmaceuticals
PAK TAK INTERNATIONAL LIMITED,0.4050HKD,291M,107.69%,Diversified Industrial Goods Wholesale
PALADIN LIMITED,0.0120HKD,2.52M,-.--%,Integrated Hardware & Software
PALASINO HOLDINGS LIMITED,1.200HKD,142M,-44.44%,Hotels & Motels
PALIBURG HOLDINGS LIMITED,0.2020HKD,29.31M,-15.13%,Other Real Estate Development & Operations
PALINDA GROUP HOLDINGS LIMITED,0.0110HKD,2.68M,-8.33%,"Beer, Wine & Liquor Stores"
PAN ASIA DATA HOLDINGS INC.,0.0510HKD,6.94M,-27.14%,Paint & Coating
PAN ASIA ENVIRONMENTAL PROTECTION GROUP LIMITED,0.5200HKD,66.69M,-21.21%,Purification & Treatment Equipment
PANASIALUM HOLDINGS COMPANY LIMITED,0.1300HKD,19.91M,-1.52%,Other Aluminum
PANGAEA CONNECTIVITY TECHNOLOGY LIMITED,1.730HKD,171M,349.35%,Semiconductor Wholesale
PARADISE ENTERTAINMENT LIMITED,0.6800HKD,91.33M,6.25%,Casinos
PARKSON RETAIL GROUP LIMITED,0.1720HKD,59.86M,1.18%,Other Department Stores
PATEO CONNECT TECHNOLOGY (SHANGHAI) CORPORATION,224.80HKD,4.41B,4.07%,"Other Auto, Truck & Motorcycle Parts"
PAX GLOBAL TECHNOLOGY LIMITED,3.320HKD,457M,-34.26%,Point of Sale Systems
PCCW LIMITED,5.700HKD,5.72B,5.56%,Other Integrated Telecommunications Services
PEGASUS INTERNATIONAL HOLDINGS LIMITED,0.9900HKD,92.33M,-1.00%,Other Footwear
"PEGBIO CO., LTD.",8.520HKD,440M,-87.65%,Biopharmaceuticals
PEIJIA MEDICAL LIMITED,4.870HKD,418M,-18.97%,Medical Devices & Implants
PEIPORT HOLDINGS LTD.,0.9200HKD,47.99M,9.52%,Other Communications & Networking
PEKING UNIVERSITY RESOURCES (HOLDINGS) COMPANY LIMITED,0.3250HKD,114M,62.50%,Other Computer Hardware
