Stk name,Mkt Price,Mkt Cap,Price chg compared to 1 Jan 2026,Sector
PENGO HOLDINGS GROUP LIMITED,0.3700HKD,55.25M,51.64%,Other Construction & Engineering
PERENNIAL ENERGY HOLDINGS LIMITED,1.000HKD,208M,-13.04%,Other Coal
PERENNIAL INTERNATIONAL LIMITED,1.080HKD,26.92M,35.00%,Wires & Cables
PERFECT MEDICAL HEALTH MANAGEMENT LIMITED,1.160HKD,189M,-6.45%,Personal Care Services
PERFECT OPTRONICS LIMITED,0.0650HKD,12.31M,-17.72%,Semiconductor Wholesale
PERFECTECH INTERNATIONAL HOLDINGS LIMITED,0.1780HKD,11.14M,-40.67%,Other Toys & Juvenile Products
PERSISTENCE RESOURCES GROUP LTD,0.8700HKD,288M,-18.69%,Other Gold
PETRO-KING OILFIELD SERVICES LIMITED,0.2270HKD,49.81M,345.10%,Other Oil & Gas Drilling
PETROCHINA COMPANY LIMITED,10.70HKD,287B,27.68%,Integrated Oil & Gas
"PHANCY GROUP CO., LTD.",31.66HKD,2.33B,-28.08%,Machine Learning & Artificial Intelligence (AI) Services
PHILLIP CAPITAL MANAGEMENT HK - PHILLIP HK NEW LST EQ,11.86HKD,9.99M,-3.42%,-
PHOENITRON HOLDINGS LIMITED,0.3500HKD,30.93M,-17.65%,Other Semiconductors
PHOENIX MEDIA INVESTMENT (HOLDINGS) LIMITED,1.420HKD,91.15M,-22.40%,Television Broadcasting
PICC PROPERTY AND CASUALTY COMPANY LIMITED,14.41HKD,42.25B,-11.92%,Insurance - Automobile
PICO FAR EAST HOLDINGS LIMITED,2.200HKD,356M,-17.91%,Exhibition & Conference Services
PINE TECHNOLOGY HOLDINGS LIMITED,0.2600HKD,50.08M,-13.33%,Integrated Hardware & Software
PINESTONE CAPITAL LIMITED,4.010HKD,29.54M,4.16%,Other Investment Banking & Brokerage Services
PING AN HEALTHCARE AND TECHNOLOGY COMPANY LIMITED,8.640HKD,2.44B,-38.64%,Other Healthcare Facilities & Services
PIONEER GLOBAL GROUP LIMITED,0.5200HKD,76.6M,-3.70%,Other Real Estate Development & Operations
PIZU GROUP HOLDINGS LIMITED,1.840HKD,895M,95.74%,Explosives
PLANETREE INTERNATIONAL DEVELOPMENT LIMITED,2.270HKD,333M,26.11%,Other Investment Banking & Brokerage Services
PLATEAU TREASURES LIMITED,0.1160HKD,7.11M,-14.07%,Other Construction & Engineering
PLATT NERA INTERNATIONAL LIMITED,0.6000HKD,14.7M,-17.81%,Other IT Services & Consulting
PLAYMATES HOLDINGS LIMITED,0.4950HKD,135M,0.00%,"Games, Toys & Children Vehicles"
PLAYMATES TOYS LIMITED,0.4850HKD,72.32M,21.25%,"Games, Toys & Children Vehicles"
PLOVER BAY TECHNOLOGIES LIMITED,8.750HKD,1.2B,46.32%,Network Equipment
PLUS GROUP HOLDINGS INC.,5.650HKD,79.19M,-24.16%,Marketing Consulting Services
POKFULAM DEVELOPMENT COMPANY LIMITED,5.250HKD,73.83M,-13.51%,Other Real Estate Development & Operations
"POLY PROPERTY GROUP CO., LIMITED",2.100HKD,1.05B,5.00%,Other Real Estate Development & Operations
"POLY PROPERTY SERVICES CO., LTD.",29.28HKD,2.11B,-8.16%,Residential Real Estate Services
POLY XVERSE INTELLIGENT TECHNOLOGY CO. LTD,0.4800HKD,91.03M,215.79%,Other Toys & Juvenile Products
POLYFAIR HOLDINGS LIMITED,0.0670HKD,726K,-33.00%,Civil Engineers & Architects
POP MART INTERNATIONAL GROUP LIMITED,159.00HKD,26B,-15.29%,Toys & Games Retailers
"POSTAL SAVINGS BANK OF CHINA CO., LTD.",4.790HKD,86.42B,-9.96%,Other Banks
POU SHENG INTERNATIONAL (HOLDINGS) LIMITED,0.3950HKD,265M,-15.96%,Other Apparel & Accessories Retailers
POWER ASSETS HOLDINGS LIMITED,60.05HKD,16.62B,8.88%,Other Electric Utilities
POWERLONG COMMERCIAL MANAGEMENT HOLDINGS LIMITED,2.360HKD,194M,-2.07%,Retail Real Estate Services
POWERLONG REAL ESTATE HOLDINGS LIMITED,0.2220HKD,117M,-12.94%,Office Real Estate Development
POWERWIN TECH GROUP LIMITED,0.5000HKD,55.14M,-61.54%,Other Advertising & Marketing
PPS INTERNATIONAL (HOLDINGS) LIMITED,0.1190HKD,8.2M,60.81%,Other Business Support Services
PRADA S.P.A.,36.08HKD,11.8B,-19.82%,Luxury Clothing
PRECIOUS DRAGON TECHNOLOGY HOLDINGS LIMITED,2.170HKD,64.79M,10.71%,Cleaning Supplies
PRECISION TSUGAMI (CHINA) CORPORATION LIMITED,54.75HKD,2.68B,62.85%,Machine Tools
PRIME INTELLIGENCE SOLUTIONS GROUP LIMITED,0.1580HKD,16.13M,4.64%,Biometric Products
PRINX CHENGSHAN HOLDINGS LIMITED,7.700HKD,627M,-1.28%,Tire & Tube Manufacturers
PRODUCTIVE TECHNOLOGIES COMPANY LIMITED,0.4700HKD,473M,150.00%,Other Semiconductor Equipment & Testing
PROGRESSIVE PATH GROUP HOLDINGS LIMITED,0.3950HKD,21.19M,87.20%,Other Mining Support Services & Equipment
PROSPER CONSTRUCTION HOLDINGS LIMITED,0.1950HKD,19.91M,-18.07%,Highway & Bridge Construction
PROSPER ONE INTERNATIONAL HOLDINGS COMPANY LIMITED,0.1610HKD,15.32M,56.31%,Fertilizer
PROSPERITY GROUP INTERNATIONAL LIMITED,0.4150HKD,10.6M,6.41%,Other Electrical Components & Equipment
PROSPERITY INVESTMENT HOLDINGS LIMITED,0.1920HKD,15.22M,-4.00%,Other Investment Banking & Brokerage Services
PROSPERITY REAL ESTATE INVESTMENT TRUST,1.420HKD,295M,-0.70%,Office REITs
PROSPEROUS FUTURE HOLDINGS LIMITED,0.0460HKD,9.56M,43.75%,Food Wholesale
PROSPEROUS INDUSTRIAL (HOLDINGS) LIMITED,0.8500HKD,122M,13.33%,Handbags & Luggage
PROSPEROUS PRINTING COMPANY LIMITED,0.1030HKD,1.37M,-48.50%,Book Printing Services
PT INTERNATIONAL DEVELOPMENT CORPORATION LIMITED,0.2200HKD,8.5M,-20.00%,Other Specialty Mining & Metals
"PU'ER LANCANG ANCIENT TEA CO., LTD.",2.760CNY,52.84M,44.50%,Coffee & Tea
PUBLIC FINANCIAL HOLDINGS LIMITED,1.430HKD,203M,5.15%,Other Banks
PURAPHARM CORPORATION LIMITED,0.3000HKD,20.49M,-15.49%,"Hospitals, Clinics & Primary Care Services"
PUTIAN COMMUNICATION GROUP LIMITED,0.4550HKD,66.69M,292.24%,Wires & Cables
PUXING ENERGY LIMITED,0.9300HKD,58.54M,-26.77%,Fossil Fuel IPPs
PW MEDTECH GROUP LIMITED,1.170HKD,214M,-9.30%,Medical Supplies
Q P GROUP HOLDINGS LIMITED,1.040HKD,70.62M,-34.59%,Other Toys & Juvenile Products
Q TECHNOLOGY (GROUP) COMPANY LIMITED,9.100HKD,1.43B,8.08%,Photographic Equipment
QEEKA HOME (CAYMAN) INC.,0.2170HKD,31.12M,-5.65%,Other Internet Services
QIAN XUN TECHNOLOGY LIMITED,0.8500HKD,56.6M,-76.71%,Advertising Agency
QIANHAI HEALTH HOLDINGS LIMITED,0.6200HKD,15.57M,125.45%,Semiconductor Wholesale
QILU EXPRESSWAY COMPANY LIMITED,1.730HKD,457M,-3.89%,Highway Operators
QING HUA HOLDING GROUP COMPANY LIMITED,0.0460HKD,14.96M,-28.12%,Theatres & Performing Arts
QINGCI GAMES INC.,2.540HKD,224M,-18.06%,Other Software
"QINGDA ORIENTAL GROUP CO., LTD.",11.59HKD,319M,122.03%,Other Industrial Machinery & Equipment
QINGDAO HOLDINGS INTERNATIONAL LIMITED,0.1870HKD,23.71M,59.83%,Other Communications & Networking
"QINGDAO PORT INTERNATIONAL CO., LTD.",7.060HKD,7.99B,1.44%,Other Marine Port Services
"QINGLING MOTORS CO., LTD.",0.8600HKD,276M,-6.52%,Light Trucks
QINGSONG HEALTH CORPORATION,24.62HKD,636M,-64.08%,Medical Software & Technology Services
"QINHUANGDAO PORT CO., LTD.",2.220HKD,2.54B,-16.23%,Other Marine Port Services
QINIU LIMITED,0.4100HKD,106M,-37.88%,Other IT Services & Consulting
QINQIN FOODSTUFFS GROUP (CAYMAN) COMPANY LIMITED,1.050HKD,101M,-20.45%,Other Food Processing
QPL INTERNATIONAL HOLDINGS LIMITED,0.6800HKD,32.29M,81.33%,Integrated Circuits
QUALI-SMART HOLDINGS LIMITED,0.3650HKD,68.68M,180.77%,Other Toys & Juvenile Products
QUAM PLUS INTERNATIONAL FINANCIAL LIMITED,0.1050HKD,82.37M,-30.00%,Brokerage Services
QUANTGROUP HOLDING LIMITED,10.25HKD,694M,-61.81%,E-commerce & Auction Services
"QUANZHOU HUIXIN MICRO-CREDIT CO., LTD.",1.030HKD,89.4M,3.00%,Commercial Loans
QUNABOX GROUP LIMITED,11.18HKD,382M,-49.73%,Other Advertising & Marketing
"QYUNS THERAPEUTICS CO., LTD.",16.44HKD,468M,-12.46%,Bio Therapeutic Drugs
RADIANCE GLOBAL GROUP HOLDINGS LIMITED,0.1350HKD,12.5M,35.00%,Civil Engineers & Architects
RADIANCE HOLDINGS (GROUP) COMPANY LIMITED,1.850HKD,1.06B,0.54%,Residential Real Estate Development
RAFFLES INTERIOR LIMITED,0.0960HKD,12.25M,-26.72%,Other Construction & Engineering
RAILY AESTHETIC MEDICINE INTERNATIONAL HOLDINGS LIMITED,0.1250HKD,8.6M,-16.67%,Management Consulting Services
RAINMED MEDICAL LIMITED,0.2290HKD,41.32M,-15.19%,Medical Monitoring Systems
RARE EARTH MAGNESIUM TECHNOLOGY GROUP HOLDINGS LIMITED,0.0680HKD,5.29M,-15.00%,Nonferrous Metal Processing
RAYMOND INDUSTRIAL LIMITED,0.8900HKD,56.95M,-5.32%,Household Appliances
REACH NEW HOLDINGS LIMITED,0.0290HKD,4.69M,-74.78%,Other Commercial Printing Services
READBOY EDUCATION HOLDING COMPANY LIMITED,4.980HKD,222M,-19.81%,Office Supplies
REALORD GROUP HOLDINGS LIMITED,11.09HKD,2.09B,-17.30%,"Waste Management, Disposal & Recycling Services"
RED STAR MACALLINE GROUP CORPORATION LTD.,1.220HKD,1.4B,0.00%,Other Home Improvement Products & Services Retailers
REDCO HEALTHY LIVING COMPANY LIMITED,1.040HKD,28.59M,79.31%,Other Real Estate Services
REDCO PROPERTIES GROUP LIMITED,0.1700HKD,77.07M,-11.92%,Other Real Estate Development & Operations
REDSUN PROPERTIES GROUP LIMITED,0.0260HKD,11.93M,-21.21%,Other Real Estate Development & Operations
REDSUN SERVICES GROUP LIMITED,0.3500HKD,18.54M,-9.09%,Residential Real Estate Services
REF HOLDINGS LIMITED,1.580HKD,49.34M,209.80%,Other Commercial Printing Services
REGAL HOTELS INTERNATIONAL HOLDINGS LIMITED,0.5100HKD,60.8M,-10.53%,Hotels & Motels
REGAL PARTNERS HOLDINGS LIMITED,0.0420HKD,20.29M,-4.55%,Other Home Furnishings
REGAL REAL ESTATE INVESTMENT TRUST,0.3750HKD,158M,11.94%,Hospitality REITs
REGENT PACIFIC GROUP LIMITED,0.5800HKD,21.23M,-45.79%,Other Pharmaceuticals
REGINA MIRACLE INTERNATIONAL (HOLDINGS) LIMITED,1.750HKD,273M,-30.56%,Other Apparel & Accessories
"REGO INTERACTIVE CO., LTD",1.170HKD,252M,1.74%,Other Advertising & Marketing
RELIANCE GLOBAL HOLDINGS LIMITED,0.2430HKD,33.93M,-24.06%,Other Forest & Wood Products
REM GROUP (HOLDINGS) LIMITED,0.1010HKD,22.75M,13.48%,Other Electrical Components & Equipment
"REMEGEN CO., LTD.",79.85HKD,8.06B,10.90%,Bio Therapeutic Drugs
RENAISSANCE ASIA SILK ROAD GROUP LIMITED,0.4900HKD,4.29M,-.--%,Other Gold
RENCO HOLDINGS GROUP LIMITED,0.0190HKD,6.42M,-.--%,Integrated Circuits
RENHENG ENTERPRISE HOLDINGS LIMITED,0.2000HKD,20.53M,0.00%,Industrial Machinery
RENRUI HUMAN RESOURCES TECHNOLOGY HOLDINGS LIMITED,3.640HKD,72.18M,-8.54%,Human Resources Consulting Services
RENZE HARVEST INTERNATIONAL LIMITED,0.0860HKD,58.08M,-18.10%,Industrial Machinery & Equipment Wholesale
"REPT BATTERO ENERGY CO., LTD.",14.68HKD,4.48B,10.46%,Batteries & Uninterruptable Power Supplies
REPUBLIC HEALTHCARE LIMITED,0.1050HKD,8.36M,-25.00%,Other Healthcare Facilities & Services
RICH GOLDMAN HOLDINGS LIMITED,0.0520HKD,12.87M,6.12%,Other Consumer Lending
RICHLY FIELD CHINA DEVELOPMENT LIMITED,0.0650HKD,9.98M,-22.62%,Other Real Estate Development & Operations
RICI HEALTHCARE HOLDINGS LIMITED,0.6800HKD,136M,-39.29%,Other Healthcare Facilities & Services
RIDGE OUTDOOR INTERNATIONAL LIMITED,22.44HKD,370M,-,Sporting & Outdoor Goods
RIMBACO GROUP GLOBAL LIMITED,1.220HKD,207M,653.09%,Other Construction & Engineering
RISECOMM GROUP HOLDINGS LIMITED,0.9200HKD,14.32M,106.74%,Other Electronic Equipment & Parts
RITAMIX GLOBAL LIMITED,0.7800HKD,46.47M,5.41%,Fishing & Farming Wholesale
RIVERINE CHINA HOLDINGS LIMITED,1.700HKD,93.05M,729.27%,"Waste Management, Disposal & Recycling Services"
"RIZHAO PORT JURONG CO., LTD.",0.6600HKD,140M,-1.49%,Marine Cargo Handling Services
RMH HOLDINGS LIMITED,0.2500HKD,2.13M,-24.24%,"Hospitals, Clinics & Primary Care Services"
ROAD KING INFRASTRUCTURE LIMITED,0.6000HKD,57.39M,-9.09%,Other Real Estate Development & Operations
"ROBOSENSE TECHNOLOGY CO., LTD",30.70HKD,1.94B,-16.12%,Other Electronic Equipment & Parts
"ROBOTPHOENIX INTELLIGENT TECHNOLOGY CO., LTD.",33.68HKD,1.05B,-,Industrial Machinery
"ROISERV LIFESTYLE SERVICES CO., LTD.",1.380HKD,68.63M,-2.13%,Other Real Estate Services
"RONGTA TECHNOLOGY (XIAMEN) GROUP CO., LTD.",17.70HKD,214M,11.53%,Other Computer Hardware
